transaction_id,user_id,timestamp,payment_method,amount,status,city,merchant_category,device_type
T000024,U0384,4/8/2024 13:49,Card,305.74,Success,Pune,Healthcare,Web
T000025,U0051,3/11/2024 15:58,NetBanking,2112.76,Success,Bangalore,Fuel,Android
T000026,U0192,8/28/2024 23:03,UPI,1198.9,Pending,Hyderabad,Transport,Android
T000027,U0302,10/11/2024 5:01,Wallet,83.91,Pending,Delhi,Grocery,Android
T000028,U0223,1/24/2024 0:32,Card,93.73,Success,Delhi,Grocery,Android
T000029,U0104,3/25/2024 16:02,UPI,298.77,Success,Ahmedabad,Education,Android
T000030,U0173,12/2/2024 17:38,Wallet,408.11,Success,Mumbai,Education,iOS
T000031,U0051,8/19/2024 16:13,UPI,427.52,Pending,Kolkata,Healthcare,Android
T000032,U0101,11/24/2024 23:53,Card,484.36,Success,Pune,Fuel,Android
T000033,U0308,12/19/2024 1:06,QR,1497.05,Success,Mumbai,Shopping,Android
T000034,U0318,1/3/2024 2:51,UPI,76.19,Success,Pune,Utilities,iOS
T000035,U0373,9/28/2024 7:45,QR,299.46,Success,Ahmedabad,Fuel,iOS
T000036,U0185,10/22/2024 9:17,UPI,68.33,Success,Mumbai,Shopping,Android
T000037,U0289,7/4/2024 17:35,UPI,327.13,Success,Mumbai,Fuel,Android
T000038,U0257,1/16/2024 15:44,Card,81.76,Success,Delhi,Entertainment,Android
T000039,U0178,5/31/2024 20:12,Wallet,11494.26,Success,Mumbai,Grocery,Android
T000040,U0242,6/14/2024 0:02,UPI,223.43,Success,Kolkata,Entertainment,iOS
T000041,U0114,7/14/2024 23:59,NetBanking,238.08,Success,Ahmedabad,Fuel,Web
T000042,U0496,5/13/2024 16:58,UPI,203.36,Success,Hyderabad,Education,iOS
T000043,U0361,5/15/2024 15:41,NetBanking,421.91,Success,Bangalore,Utilities,iOS
T000044,U0265,12/4/2024 16:58,QR,267.13,Success,Bangalore,Utilities,Android
T000045,U0469,4/28/2024 0:54,NetBanking,24433.46,Success,Mumbai,Shopping,iOS
T000046,U0221,12/22/2024 4:11,Card,2592.41,Failed,Pune,Transport,Android
T000047,U0434,3/4/2024 5:26,Card,88.18,Success,Bangalore,Food,Web
T000048,U0217,10/22/2024 20:06,Card,87.58,Success,Mumbai,Fuel,Android
T000049,U0451,7/2/2024 1:00,UPI,797.04,Success,Chennai,Fuel,Android
T000050,U0190,3/29/2024 18:03,UPI,440.87,Success,Ahmedabad,Shopping,Android
T000051,U0213,2/8/2024 15:20,NetBanking,362.94,Success,Kolkata,Food,Android
T000052,U0374,3/10/2024 1:31,NetBanking,176.43,Success,Bangalore,Shopping,Android
T000053,U0348,11/5/2024 8:45,UPI,24436.69,Success,Pune,Food,Android
T000054,U0212,3/1/2024 14:46,Card,2556.34,Success,Kolkata,Utilities,Android
T000055,U0312,3/23/2024 14:13,NetBanking,20832.17,Success,Chennai,Shopping,iOS
T000056,U0217,2/27/2024 21:10,Card,78.58,Success,Kolkata,Healthcare,iOS
T000057,U0197,8/9/2024 4:15,NetBanking,376.75,Success,Chennai,Food,Web
T000058,U0205,7/22/2024 22:38,UPI,1395.41,Success,Mumbai,Healthcare,iOS
T000059,U0379,6/2/2024 14:12,NetBanking,302.42,Success,Kolkata,Education,iOS
T000060,U0341,11/21/2024 13:05,Card,111.37,Success,Pune,Fuel,Web
T000061,U0308,1/29/2024 9:35,Wallet,21972,Success,Bangalore,Transport,iOS
T000062,U0273,1/22/2024 11:16,UPI,329.36,Success,Delhi,Fuel,Android
T000063,U0151,5/31/2024 9:49,Wallet,363.95,Success,Ahmedabad,Fuel,Android
T000064,U0160,1/23/2024 2:45,Wallet,419.81,Success,Pune,Food,Android
T000065,U0012,6/8/2024 12:08,NetBanking,198.54,Success,Pune,Transport,iOS
T000066,U0319,4/23/2024 15:15,UPI,412.79,Success,Kolkata,Transport,Android
T000067,U0474,4/16/2024 12:35,UPI,591.71,Success,Kolkata,Education,Android
T000068,U0239,12/15/2024 16:40,UPI,289.68,Success,Mumbai,Education,Android
T000069,U0231,6/11/2024 9:28,UPI,1983.98,Success,Hyderabad,Grocery,Android
T000070,U0111,5/1/2024 15:57,Wallet,244.25,Success,Mumbai,Grocery,Android
T000071,U0315,4/16/2024 9:25,UPI,53.39,Failed,Pune,Transport,iOS
T000072,U0247,8/24/2024 15:28,Wallet,11752.82,Success,Bangalore,Healthcare,Web
T000073,U0094,12/5/2024 6:38,Card,1837.59,Success,Hyderabad,Healthcare,Web
T000074,U0324,6/26/2024 0:57,UPI,288.43,Success,Pune,Entertainment,Android
T000075,U0259,9/2/2024 23:49,UPI,1872.3,Success,Bangalore,Food,Android
T000076,U0329,4/30/2024 1:38,UPI,2485.72,Success,Bangalore,Grocery,Android
T000077,U0376,11/21/2024 19:47,NetBanking,2352.8,Success,Ahmedabad,Utilities,iOS
T000078,U0316,8/27/2024 14:41,UPI,1807.66,Success,Chennai,Grocery,iOS
T000079,U0295,5/21/2024 10:09,UPI,185.62,Success,Chennai,Education,Android
T000080,U0309,1/12/2024 0:59,UPI,1332.04,Success,Bangalore,Food,Android
T000081,U0231,5/21/2024 2:16,Card,190.27,Success,Pune,Grocery,iOS
T000082,U0123,8/18/2024 10:07,UPI,99.78,Success,Hyderabad,Transport,Android
T000083,U0047,5/14/2024 11:23,Card,338.52,Success,Hyderabad,Entertainment,Android
T000084,U0330,11/23/2024 10:18,Wallet,257.9,Success,Pune,Grocery,Android
T000085,U0111,9/2/2024 9:22,Wallet,2475.21,Success,Chennai,Utilities,Android
T000086,U0029,5/13/2024 10:41,NetBanking,783.1,Failed,Pune,Education,Web
T000087,U0319,12/1/2024 21:08,Wallet,636.9,Success,Hyderabad,Utilities,Android
T000088,U0244,11/1/2024 11:59,NetBanking,259.57,Failed,Delhi,Fuel,Android
T000089,U0025,11/3/2024 5:21,UPI,190.16,Success,Mumbai,Shopping,Android
T000090,U0337,1/7/2024 14:27,UPI,437.28,Success,Ahmedabad,Education,Android
T000091,U0440,10/7/2024 5:12,UPI,66.45,Success,Pune,Fuel,Android
T000092,U0194,6/8/2024 8:46,UPI,888.1,Success,Kolkata,Fuel,Android
T000093,U0458,12/4/2024 7:10,Wallet,890.38,Success,Chennai,Utilities,Android
T000094,U0472,2/9/2024 19:09,Card,2499.79,Success,Kolkata,Transport,Android
T000095,U0096,8/4/2024 10:15,Card,423.6,Success,Kolkata,Education,iOS
T000096,U0007,1/22/2024 6:57,UPI,61.94,Success,Mumbai,Food,iOS
T000097,U0404,3/21/2024 1:54,Card,2576.64,Success,Chennai,Grocery,iOS
T000098,U0355,6/5/2024 3:07,QR,101.41,Success,Ahmedabad,Food,Android
T000099,U0209,5/31/2024 17:36,Card,231.15,Success,Mumbai,Grocery,Android
T000100,U0075,4/22/2024 21:51,NetBanking,1185.14,Success,Mumbai,Education,Android
T000101,U0342,7/21/2024 11:26,UPI,379.48,Success,Mumbai,Food,Android
T000102,U0476,9/19/2024 18:53,Wallet,2345.08,Success,Mumbai,Shopping,iOS
T000103,U0011,7/23/2024 7:40,NetBanking,11726.29,Success,Pune,Shopping,Android
T000104,U0250,2/8/2024 18:54,UPI,73.14,Success,Mumbai,Grocery,Android
T000105,U0201,3/21/2024 20:12,UPI,319.23,Success,Bangalore,Fuel,Android
T000106,U0354,3/17/2024 2:50,UPI,462.79,Success,Kolkata,Transport,iOS
T000107,U0479,4/3/2024 3:20,Card,2951.44,Success,Delhi,Utilities,Web
T000108,U0047,9/10/2024 16:02,Card,131.26,Failed,Hyderabad,Education,Android
T000109,U0176,10/20/2024 15:20,QR,263.4,Failed,Mumbai,Education,Android
T000110,U0159,9/21/2024 13:41,UPI,2240.72,Success,Bangalore,Education,Android
T000111,U0497,12/21/2024 12:03,Card,331.65,Success,Kolkata,Fuel,iOS
T000112,U0414,1/12/2024 19:22,NetBanking,472.58,Success,Pune,Food,Android
T000113,U0245,6/9/2024 0:12,Wallet,492.84,Success,Hyderabad,Food,Android
T000114,U0003,11/12/2024 19:36,UPI,183.34,Success,Pune,Utilities,Android
T000115,U0377,12/26/2024 9:39,UPI,723.53,Failed,Pune,Transport,Android
T000116,U0333,8/27/2024 2:26,UPI,2856.83,Pending,Hyderabad,Grocery,Android
T000117,U0425,12/1/2024 13:58,QR,410.35,Success,Bangalore,Food,Android
T000118,U0490,1/22/2024 4:12,UPI,1658.45,Pending,Chennai,Utilities,iOS
T000119,U0357,10/2/2024 20:36,UPI,1691.69,Success,Mumbai,Utilities,Android
T000120,U0025,7/16/2024 23:08,Card,163.69,Success,Mumbai,Healthcare,Web
T000121,U0176,6/26/2024 12:40,NetBanking,14353.74,Pending,Delhi,Transport,iOS
T000122,U0040,6/9/2024 15:52,NetBanking,284.57,Success,Ahmedabad,Utilities,Android
T000123,U0045,4/17/2024 7:44,NetBanking,22396.02,Success,Chennai,Fuel,iOS
T000124,U0426,7/11/2024 8:55,Card,502.8,Success,Bangalore,Education,Android
T000125,U0013,10/31/2024 6:43,QR,2085.01,Success,Pune,Fuel,iOS
T000126,U0074,5/6/2024 22:10,QR,5255.21,Success,Ahmedabad,Entertainment,Android
T000127,U0219,4/25/2024 2:00,Card,311.98,Success,Mumbai,Entertainment,Android
T000128,U0436,1/23/2024 9:42,UPI,419.68,Success,Kolkata,Grocery,Android
T000129,U0285,12/4/2024 5:02,UPI,123.63,Success,Mumbai,Entertainment,iOS
T000130,U0027,2/13/2024 2:09,QR,2859.04,Success,Pune,Fuel,Android
T000131,U0387,12/27/2024 2:52,UPI,1032.76,Failed,Bangalore,Grocery,iOS
T000132,U0208,7/26/2024 7:22,QR,2441.49,Success,Bangalore,Education,Android
T000133,U0448,9/10/2024 19:04,UPI,327.49,Failed,Chennai,Entertainment,Android
T000134,U0166,12/3/2024 12:57,UPI,311.89,Success,Hyderabad,Food,Android
T000135,U0274,2/8/2024 5:36,UPI,1229.16,Success,Pune,Utilities,Android
T000136,U0214,12/12/2024 16:28,UPI,856.24,Success,Bangalore,Food,Android
T000137,U0416,7/4/2024 19:01,UPI,89.54,Success,Pune,Education,Android
T000138,U0359,10/2/2024 17:20,Card,918.71,Success,Delhi,Healthcare,Android
T000139,U0073,9/10/2024 8:05,Wallet,2868.38,Success,Kolkata,Education,iOS
T000140,U0208,2/5/2024 15:51,Wallet,266.41,Success,Mumbai,Healthcare,Android
T000141,U0012,6/12/2024 18:42,UPI,1675.46,Success,Hyderabad,Education,Android
T000142,U0300,2/3/2024 14:33,UPI,199.54,Success,Delhi,Fuel,Android
T000143,U0438,12/24/2024 15:50,UPI,2901.95,Success,Hyderabad,Entertainment,iOS
T000144,U0382,6/11/2024 18:42,Wallet,281.3,Success,Bangalore,Grocery,Android
T000145,U0420,11/22/2024 16:30,UPI,1026.66,Success,Kolkata,Food,Android
T000146,U0008,12/7/2024 15:25,NetBanking,2928.49,Success,Hyderabad,Utilities,Android
T000147,U0316,11/23/2024 6:11,UPI,211.66,Success,Chennai,Grocery,iOS
T000148,U0261,8/30/2024 11:09,Wallet,1092.57,Success,Pune,Utilities,Android
T000149,U0276,4/6/2024 18:42,Wallet,919.05,Success,Hyderabad,Shopping,iOS
T000150,U0120,2/18/2024 20:20,UPI,3752.13,Success,Chennai,Shopping,Web
T000151,U0285,12/23/2024 10:33,UPI,470.24,Success,Mumbai,Entertainment,Web
T000152,U0216,11/8/2024 4:37,UPI,337.6,Failed,Mumbai,Education,iOS
T000153,U0340,2/6/2024 20:39,UPI,17815.51,Success,Chennai,Education,iOS
T000154,U0352,1/10/2024 6:15,NetBanking,2595.29,Success,Mumbai,Grocery,Android
T000155,U0136,9/17/2024 4:12,Wallet,468.93,Success,Ahmedabad,Shopping,iOS
T000156,U0361,9/7/2024 1:39,UPI,22061.65,Success,Hyderabad,Utilities,Android
T000157,U0159,7/21/2024 12:43,UPI,12639.79,Success,Hyderabad,Utilities,Android
T000158,U0365,9/22/2024 3:58,UPI,1320.95,Success,Kolkata,Shopping,Android
T000159,U0093,6/17/2024 1:50,Wallet,249.99,Success,Pune,Grocery,Android
T000160,U0003,6/13/2024 2:26,NetBanking,265.63,Success,Mumbai,Shopping,Android
T000161,U0228,11/11/2024 7:00,UPI,2288.73,Success,Delhi,Education,iOS
T000162,U0117,3/17/2024 7:21,UPI,77.12,Failed,Hyderabad,Entertainment,Android
T000163,U0052,10/26/2024 22:17,UPI,1278.27,Success,Chennai,Entertainment,iOS
T000164,U0350,3/13/2024 16:03,UPI,961.46,Success,Hyderabad,Transport,Web
T000165,U0452,2/24/2024 18:05,Card,2082.88,Success,Pune,Shopping,iOS
T000166,U0393,8/20/2024 17:04,UPI,234.96,Success,Mumbai,Shopping,Android
T000167,U0152,4/24/2024 10:10,NetBanking,414.29,Success,Hyderabad,Food,iOS
T000168,U0226,7/24/2024 21:33,UPI,60.64,Success,Mumbai,Utilities,Android
T000169,U0441,8/15/2024 15:23,UPI,318.67,Success,Chennai,Food,Android
T000170,U0280,6/17/2024 17:32,Card,201.75,Success,Hyderabad,Food,Android
T000171,U0073,6/1/2024 1:36,UPI,1606.02,Success,Bangalore,Shopping,Android
T000172,U0200,5/1/2024 6:52,Card,255.59,Success,Pune,Food,Web
T000173,U0471,7/31/2024 4:03,UPI,2904.16,Success,Kolkata,Utilities,iOS
T000174,U0012,7/8/2024 23:15,UPI,5636.24,Pending,Pune,Shopping,iOS
T000175,U0248,2/14/2024 11:20,UPI,1142.62,Success,Hyderabad,Healthcare,Android
T000176,U0142,1/23/2024 22:37,UPI,212.06,Success,Delhi,Fuel,Android
T000177,U0407,8/30/2024 22:26,Wallet,1742.41,Success,Mumbai,Food,Android
T000178,U0082,5/26/2024 15:33,UPI,440.63,Success,Chennai,Shopping,Android
T000179,U0347,8/29/2024 19:29,UPI,2556.2,Pending,Bangalore,Food,Android
T000180,U0310,3/1/2024 0:29,UPI,229.4,Success,Mumbai,Entertainment,Android
T000181,U0068,4/1/2024 11:40,Wallet,244.62,Failed,Bangalore,Healthcare,Android
T000182,U0043,4/29/2024 7:51,Wallet,223.91,Success,Pune,Grocery,Android
T000183,U0056,1/24/2024 20:42,QR,114.01,Success,Ahmedabad,Food,Android
T000184,U0103,4/25/2024 22:18,Card,187.81,Success,Kolkata,Shopping,iOS
T000185,U0062,10/7/2024 6:45,UPI,2568.84,Success,Pune,Education,Android
T000186,U0219,8/12/2024 14:20,UPI,392.13,Success,Hyderabad,Grocery,Android
T000187,U0181,8/19/2024 18:07,UPI,217.13,Success,Ahmedabad,Education,Android
T000188,U0196,9/19/2024 17:42,UPI,264.21,Success,Hyderabad,Food,Web
T000189,U0017,5/1/2024 9:35,UPI,246.92,Success,Bangalore,Transport,Android
T000190,U0203,6/11/2024 6:49,Card,336.5,Failed,Delhi,Shopping,iOS
T000191,U0449,10/13/2024 23:33,Card,88.16,Success,Ahmedabad,Food,Web
T000192,U0277,8/25/2024 18:01,UPI,207.37,Success,Delhi,Shopping,Android
T000193,U0352,11/4/2024 20:11,UPI,2919.65,Success,Chennai,Utilities,Android
T000194,U0434,5/10/2024 0:03,UPI,398.59,Success,Mumbai,Shopping,Android
T000195,U0347,6/18/2024 9:41,UPI,464.13,Success,Mumbai,Food,Web
T000196,U0183,3/3/2024 17:15,UPI,247.73,Success,Hyderabad,Fuel,iOS
T000197,U0376,1/12/2024 7:53,UPI,437.62,Success,Hyderabad,Shopping,Web
T000198,U0302,4/5/2024 20:24,Wallet,74.24,Success,Bangalore,Grocery,Android
T000199,U0213,12/25/2024 9:37,UPI,269.78,Failed,Hyderabad,Food,Android
T000200,U0191,8/5/2024 3:28,Wallet,443,Success,Mumbai,Transport,Android
T000201,U0261,11/16/2024 16:04,QR,230.67,Success,Ahmedabad,Education,Android
T000202,U0066,7/8/2024 23:54,UPI,2620.12,Success,Pune,Utilities,Web
T000203,U0377,11/19/2024 7:21,UPI,187.52,Success,Hyderabad,Entertainment,iOS
T000204,U0024,11/7/2024 18:18,Wallet,2239.05,Success,Bangalore,Utilities,Android
T000205,U0273,4/22/2024 13:58,NetBanking,760.34,Success,Ahmedabad,Transport,iOS
T000206,U0082,1/29/2024 23:43,UPI,274.22,Success,Pune,Healthcare,Android
T000207,U0356,3/22/2024 17:26,Wallet,105.07,Success,Chennai,Utilities,Web
T000208,U0301,3/20/2024 18:55,UPI,795.84,Success,Delhi,Education,Android
T000209,U0400,8/26/2024 1:12,Wallet,124.38,Pending,Pune,Food,Web
T000210,U0051,6/7/2024 0:59,UPI,151.49,Success,Hyderabad,Shopping,iOS
T000211,U0090,5/3/2024 2:35,UPI,459.23,Failed,Pune,Utilities,iOS
T000212,U0152,6/13/2024 13:30,QR,75.67,Success,Bangalore,Transport,Web
T000213,U0400,3/19/2024 19:53,UPI,170.66,Success,Mumbai,Utilities,Android
T000214,U0178,8/28/2024 21:01,Card,156.55,Success,Ahmedabad,Education,Android
T000215,U0154,8/23/2024 4:04,Card,2948.88,Success,Hyderabad,Transport,Android
T000216,U0371,6/10/2024 19:45,NetBanking,132.36,Failed,Chennai,Education,iOS
T000217,U0289,7/15/2024 13:41,UPI,375.27,Success,Pune,Healthcare,iOS
T000218,U0330,3/26/2024 2:32,UPI,147.24,Success,Kolkata,Healthcare,Android
T000219,U0495,8/21/2024 3:33,UPI,490.13,Success,Hyderabad,Entertainment,Android
T000220,U0068,12/1/2024 14:51,Card,106.81,Success,Hyderabad,Utilities,Android
T000221,U0284,11/13/2024 12:33,Wallet,92.37,Success,Delhi,Healthcare,Android
T000222,U0279,3/30/2024 0:20,UPI,248.48,Success,Bangalore,Utilities,Android
T000223,U0085,2/21/2024 15:45,Wallet,453.63,Success,Mumbai,Education,Android
T000224,U0365,11/22/2024 3:59,UPI,1005.04,Pending,Bangalore,Shopping,Android
T000225,U0454,12/4/2024 22:38,UPI,411.62,Failed,Kolkata,Shopping,iOS
T000226,U0269,5/14/2024 3:40,UPI,242.37,Failed,Chennai,Entertainment,iOS
T000227,U0418,11/25/2024 11:27,UPI,134.34,Success,Delhi,Utilities,Android
T000228,U0431,6/9/2024 14:02,UPI,272.4,Success,Hyderabad,Transport,Android
T000229,U0417,9/30/2024 8:41,UPI,382.85,Failed,Ahmedabad,Healthcare,iOS
T000230,U0108,5/6/2024 2:57,Card,64,Success,Ahmedabad,Education,Android
T000231,U0148,1/31/2024 16:10,QR,84.69,Success,Kolkata,Shopping,Android
T000232,U0117,4/12/2024 5:18,Card,2415.16,Failed,Mumbai,Fuel,Web
T000233,U0251,1/10/2024 8:46,Wallet,251.17,Success,Delhi,Fuel,Web
T000234,U0334,5/4/2024 15:38,UPI,,Success,Delhi,Fuel,iOS
T000235,U0275,1/11/2024 21:36,Card,329.61,Pending,Delhi,Entertainment,Android
T000236,U0422,6/1/2024 2:23,Wallet,158.85,Success,Delhi,Shopping,Android
T000237,U0443,7/2/2024 2:45,Card,456.3,Success,Chennai,Transport,Android
T000238,U0183,1/4/2024 7:21,UPI,1957.02,Success,Kolkata,Shopping,Android
T000239,U0276,3/14/2024 8:05,Wallet,2774.07,Success,Ahmedabad,Food,Android
T000240,U0343,2/6/2024 18:45,UPI,258.99,Failed,Pune,Transport,Web
T000241,U0038,10/13/2024 7:32,Card,829.23,Success,Delhi,Healthcare,Android
T000242,U0472,12/9/2024 1:17,UPI,171.03,Pending,Hyderabad,Healthcare,Android
T000243,U0136,8/10/2024 18:49,UPI,1705.1,Pending,Hyderabad,Entertainment,Android
T000244,U0141,10/13/2024 4:57,UPI,148.58,Success,Hyderabad,Shopping,Android
T000245,U0318,11/2/2024 19:18,UPI,228.66,Failed,Delhi,Education,Android
T000246,U0039,3/8/2024 13:26,Card,252.77,Success,Delhi,Transport,Web
T000247,U0109,11/11/2024 7:08,Card,2885.08,Success,Pune,Education,iOS
T000248,U0431,8/28/2024 11:00,UPI,2163.23,Success,Hyderabad,Fuel,Android
T000249,U0424,2/28/2024 13:27,NetBanking,2374.63,Success,Mumbai,Grocery,iOS
T000250,U0461,4/25/2024 6:17,Wallet,885.8,Success,Hyderabad,Grocery,Android
T000251,U0387,5/15/2024 2:03,QR,362.7,Success,Kolkata,Shopping,Android
T000252,U0049,9/11/2024 5:05,UPI,343.53,Success,Delhi,Education,Android
T000253,U0486,8/4/2024 3:25,UPI,420.09,Success,Ahmedabad,Utilities,Android
T000254,U0380,2/14/2024 23:43,Wallet,2114.35,Success,Kolkata,Entertainment,Android
T000255,U0202,9/15/2024 8:43,UPI,223.64,Success,Ahmedabad,Shopping,Android
T000256,U0176,12/11/2024 17:42,Wallet,97.37,Success,Ahmedabad,Fuel,Web
T000257,U0260,10/3/2024 0:02,UPI,900.06,Success,Kolkata,Shopping,Android
T000258,U0485,12/2/2024 5:43,UPI,263.3,Success,Hyderabad,Entertainment,Android
T000259,U0224,8/9/2024 4:34,Card,265.05,Pending,Kolkata,Fuel,Android
T000260,U0354,3/16/2024 16:17,Card,2193.47,Success,Bangalore,Fuel,Android
T000261,U0447,11/13/2024 8:38,QR,1018.27,Success,Mumbai,Transport,Android
T000262,U0152,6/21/2024 15:25,UPI,18639.46,Success,Kolkata,Shopping,Android
T000263,U0310,4/16/2024 5:05,UPI,1873.31,Success,Chennai,Healthcare,Android
T000264,U0147,9/10/2024 0:30,QR,438.6,Success,Chennai,Transport,Android
T000265,U0411,6/21/2024 3:28,NetBanking,376.57,Success,Kolkata,Entertainment,iOS
T000266,U0163,9/13/2024 14:31,QR,51.43,Success,Kolkata,Healthcare,Android
T000267,U0325,5/10/2024 5:45,QR,380.31,Success,Delhi,Healthcare,Android
T000268,U0320,5/5/2024 7:10,Wallet,2332.63,Success,Delhi,Fuel,Android
T000269,U0282,1/18/2024 2:46,UPI,69.87,Success,Hyderabad,Transport,Web
T000270,U0188,4/23/2024 20:41,Card,761.01,Failed,Pune,Entertainment,Android
T000271,U0358,3/13/2024 1:43,UPI,4590.96,Success,Delhi,Healthcare,Android
T000272,U0424,6/25/2024 19:14,Wallet,368.19,Success,Kolkata,Grocery,Android
T000273,U0392,6/20/2024 15:05,NetBanking,457.75,Success,Chennai,Shopping,Android
T000274,U0403,11/6/2024 18:25,UPI,134.53,Success,Bangalore,Transport,Android
T000275,U0148,5/25/2024 15:17,Wallet,155.59,Success,Bangalore,Education,iOS
T000276,U0012,8/12/2024 2:09,UPI,420.7,Failed,Chennai,Food,Android
T000277,U0154,7/22/2024 20:56,UPI,,Success,Chennai,Utilities,Android
T000278,U0147,5/3/2024 11:56,Card,12543.98,Success,Ahmedabad,Transport,Web
T000279,U0421,11/26/2024 10:59,Card,224.44,Success,Kolkata,Shopping,iOS
T000280,U0013,6/4/2024 1:59,QR,477.85,Success,Delhi,Fuel,Android
T000281,U0298,6/10/2024 8:06,UPI,275.18,Failed,Pune,Fuel,Android
T000282,U0380,4/6/2024 13:38,UPI,2299.13,Success,Pune,Transport,Android
T000283,U0100,10/22/2024 4:32,Card,2827.02,Success,Pune,Shopping,iOS
T000284,U0310,7/13/2024 0:11,Wallet,2167.17,Success,Hyderabad,Shopping,iOS
T000285,U0013,7/22/2024 12:23,NetBanking,2872.11,Success,Pune,Food,
T000286,U0372,4/14/2024 22:54,Card,68.75,Success,Ahmedabad,Food,Android
T000287,U0186,10/3/2024 17:45,UPI,396.57,Success,Ahmedabad,Shopping,Android
T000288,U0055,4/26/2024 2:23,UPI,306.79,Success,Bangalore,Fuel,Android
T000289,U0331,3/22/2024 10:20,Card,256.1,Success,Chennai,Grocery,Android
T000290,U0205,9/18/2024 7:44,UPI,311.99,Success,Bangalore,Grocery,Android
T000291,U0288,9/20/2024 2:14,Card,2049.34,Success,Delhi,Fuel,Android
T000292,U0181,7/9/2024 6:35,Wallet,10594.23,Success,Ahmedabad,Healthcare,Android
T000293,U0047,10/22/2024 8:23,Card,116.29,Success,Pune,Food,Web
T000294,U0411,6/11/2024 20:11,UPI,690.6,Success,Mumbai,Fuel,Android
T000295,U0093,8/25/2024 3:52,UPI,2952.98,Success,Bangalore,Healthcare,Android
T000296,U0068,10/31/2024 2:13,UPI,478.86,Success,Mumbai,Fuel,Android
T000297,U0358,9/13/2024 7:04,UPI,2330.31,Success,Delhi,Shopping,Web
T000298,U0418,12/29/2024 9:25,UPI,397.89,Success,Chennai,Entertainment,Android
T000299,U0342,6/30/2024 4:02,UPI,54.07,Success,Delhi,Shopping,Android
T000300,U0252,10/25/2024 21:55,Card,92.93,Success,Hyderabad,Entertainment,Android
T000301,U0248,10/10/2024 21:56,NetBanking,70.21,Pending,Hyderabad,Fuel,Android
T000302,U0359,12/4/2024 12:45,UPI,496.6,Success,Chennai,Grocery,Web
T000303,U0154,7/26/2024 14:51,QR,8031.28,Success,Pune,Grocery,iOS
T000304,U0425,9/12/2024 20:13,UPI,1568.75,Success,Hyderabad,Education,iOS
T000305,U0327,4/14/2024 8:51,NetBanking,401.16,Success,Hyderabad,Transport,Android
T000306,U0147,1/3/2024 14:36,NetBanking,82.02,Success,Delhi,Transport,iOS
T000307,U0447,7/21/2024 2:58,Card,208.67,Success,Hyderabad,Transport,
T000308,U0365,11/10/2024 5:21,UPI,289.41,Success,Chennai,Transport,Android
T000309,U0422,4/23/2024 5:53,UPI,50.66,Success,Kolkata,Entertainment,iOS
T000310,U0453,3/3/2024 10:59,UPI,196.38,Success,Pune,Healthcare,Android
T000311,U0016,7/30/2024 4:22,Card,1451.72,Success,Ahmedabad,Grocery,iOS
T000312,U0009,6/9/2024 3:41,QR,2003.88,Success,Hyderabad,Shopping,Android
T000313,U0321,9/23/2024 16:20,Wallet,2568.77,Success,Delhi,Healthcare,Web
T000314,U0407,1/7/2024 5:26,Card,173.33,Success,Pune,Entertainment,Web
T000315,U0003,3/24/2024 20:32,Card,302.93,Success,Kolkata,Entertainment,iOS
